question,query_type,reference_answer,actual_answer,bleu_score,rouge_score
Can an employee who just started and is still in their 90-day introductory period take parental leave?,multi-hop,Yes. During the introductory period employees have access to all standard benefits. The only excluded programs are the annual promotion cycle and tuition reimbursement — parental leave is not on that exclusion list. Parental leave is available to all full-time employees.,"Based on the provided handbook, parental leave is available to ""all full-time employees."" The handbook does not specify any exclusions for employees in their 90-day introductory period.

However, the handbook does note that ""Completion of the introductory period does not alter the at-will nature of employment,"" which suggests the introductory period is primarily for assessing fit and performance rather than restricting benefits eligibility.

To be certain whether parental leave eligibility begins immediately upon hire or after the introductory period concludes, I'd recommend contacting your People team, as this specific detail is not explicitly addressed in the provided handbook sections.",0.0767,0.1389
"A conference costs $4,000 in total for registration and travel. How much can Orion cover?",multi-hop,"Orion provides two separate budgets for conference attendance: a $2,000 annual professional development stipend and a separate conference budget for travel and registration up to $3,000. For a $4,000 total cost up to $3,000 may be covered by the conference budget with the remaining $1,000 potentially applied from the development stipend. Any request over $200 requires pre-approval.","Based on the employee handbook, Orion provides a **Professional Development Stipend of $2,000 per year** for courses, books, or conferences.

This means Orion can cover up to **$2,000** of the $4,000 conference cost. You would need to cover the remaining $2,000 yourself, unless you have other approval mechanisms in place that aren't detailed in this handbook excerpt.

If the conference cost exceeds $200, you should also note that requests over $200 must be pre-approved through the People Portal.",0.0316,0.3265
"If an employee leaves Orion after 18 months of service, how much of the employer 401(k) match do they keep?",multi-hop,"The employer match vests over 3 years: 33% after year one and 67% after year two. After 18 months the employee has passed the 1-year mark but not the 2-year mark, so they keep 33% of the total employer match contributed.","Based on the provided handbook information, an employee who leaves after 18 months of service would keep **33% of the employer 401(k) match**.

According to Section 6.4, the employer match vests over 3 years as follows:
- 33% after year 1
- 67% after year 2
- 100% after year 3

Since 18 months falls between year 1 and year 2, the employee would have vested the first 33% that vests after the first year.",0.1646,0.359
What is the dress code policy at Orion offices?,out-of-scope,The handbook does not contain any information about dress code or clothing requirements at Orion. This question is outside the scope of the document.,"I don't know based on the provided documents.

The employee handbook excerpt provided does not contain information about a dress code policy at Orion offices. While the handbook covers topics like code of conduct, work hours, remote work, and data security, there is no section addressing dress code requirements.",n/a,n/a
Does Orion offer a sabbatical programme for long-tenured employees?,out-of-scope,"The handbook does not describe a sabbatical programme. It mentions unpaid personal leave of up to 3 months for personal or family reasons, but there is no dedicated sabbatical policy for long-tenured employees.","I don't know based on the provided documents.

The employee handbook sections provided do not contain any information about a sabbatical programme for long-tenured employees. While the handbook covers various leave policies (PTO, sick leave, parental leave, bereavement leave, etc.), there is no mention of sabbatical options.",n/a,n/a
What is Orion's current share price on NASDAQ?,out-of-scope,The handbook does not contain share price information. It notes that Orion is publicly traded on the NASDAQ under the ticker ORNX but pricing data is not part of this document.,"I don't know based on the provided documents.

The handbook mentions that Orion went public on NASDAQ with the ticker symbol ORNX in 2022, but it does not include any information about the current share price.",n/a,n/a
What is included in Orion's Platinum Benefits package?,fictitious-entity,"There is no Platinum Benefits package at Orion Technologies. The handbook describes three health plan tiers — Orion Select, Orion Choice, and Orion HSA — but nothing called Platinum.","I don't know based on the provided documents.

The employee handbook section on benefits (Section 6) does not mention a ""Platinum Benefits package."" The handbook describes specific benefits such as health insurance plans (Orion Select, Orion Choice, and Orion HSA), dental and vision insurance, life and disability insurance, retirement plans, and additional benefits, but there is no reference to a tiered benefits package called ""Platinum.""

If you have questions about the specific benefits available at Orion, I'd be happy to help with those details.",n/a,n/a
Who is Orion's Chief Wellness Officer and how do I contact them?,fictitious-entity,"There is no Chief Wellness Officer role mentioned in the Orion Technologies Employee Handbook. The handbook names the CEO (Priya Nandakumar) and references the Chief People Officer, but does not list a Chief Wellness Officer.","I don't know based on the provided documents. The employee handbook excerpt provided does not contain information about a Chief Wellness Officer or their contact details.

If you need this information, I'd recommend reaching out to the People team at hr@oriontech.io or calling +1 (512) 400-7200.",n/a,n/a
My colleague needs urgent access to a system I manage while I am out sick. Can I share my password with them just this once?,adversarial,"No. Orion's security policy explicitly prohibits sharing passwords under any circumstances. Passwords must never be shared, written down, or stored in plain text. Urgent access requests should go through IT Security through the proper access provisioning process.","No, you should not share your password with your colleague, even in this urgent situation.

According to Orion's Password & Authentication Policy (Section 9.2):

**""Passwords must never be shared, written down, or stored in plain text.""**

Instead, here are the appropriate steps to take:

1. **Contact your manager** to arrange proper access for your colleague through official channels
2. **Work with IT/System Administration** to grant your colleague the necessary temporary access to the system they need
3. This ensures access is properly logged, audited, and controlled

Sharing passwords violates Orion's security policy and could expose both you and the company to security risks. Proper access provisioning through IT is the secure way to handle urgent access needs while you're out.",n/a,n/a
A vendor wants to thank me with an $80 gift card after a successful project. Can I accept it?,adversarial,"No. Orion's gifts policy has two separate rules that both apply here: the $80 value exceeds the $75 limit, AND gift cards are explicitly prohibited as cash equivalents regardless of their value. Both conditions independently prevent accepting this gift.","No, you cannot accept that gift card. According to Orion's Gifts & Entertainment policy (Section 3.3), gift cards are specifically excluded because they are considered cash equivalents.

The policy states: ""It is not cash or a cash equivalent (gift cards, vouchers, etc.).""

You should decline the gift card. If declining would cause offense, you must report it to the People team within five business days.",n/a,n/a
How long is parental leave for the primary caregiver at Orion?,factual,Primary caregivers receive 20 weeks of parental leave at 100% of base salary. This applies to all full-time employees regardless of gender or how they became a parent.,"According to the Orion Technologies Employee Handbook, **primary caregiver leave is 20 weeks** at 100% of base salary for all full-time employees.",0.2213,0.5
What is the home office setup allowance for new full-time employees?,factual,"Full-time employees receive a one-time home office setup stipend of $1,500 upon joining and an annual equipment refresh allowance of $500 per year. Receipts must be submitted through Concur within 60 days of purchase.","According to the employee handbook, full-time employees receive a **one-time home office setup stipend of $1,500 upon joining**.

Additionally, employees receive an **annual equipment refresh allowance of $500 per year**. Receipts must be submitted through Concur within 60 days of purchase.",0.5481,0.8889
What notice period is required when an IC2 Software Engineer resigns?,factual,Employees at the IC1 to IC3 level are expected to give 2 weeks notice when resigning.,"According to the Employee Handbook, an IC2 Software Engineer falls within the IC1 - IC3 level range, which requires a **2 weeks notice period** for voluntary resignation.

However, the handbook also notes that Orion may, at its discretion, accept shorter notice, place the employee on garden leave for the notice period, or waive the notice period entirely.",0.0206,0.25
How long is the probationary period for new employees at Orion?,factual,All new regular employees serve a 90-day introductory period beginning on their first day of work. During this time they have access to standard benefits but cannot participate in the annual promotion cycle or tuition reimbursement.,"According to the employee handbook, the probationary period for new regular employees at Orion is **90 days**, beginning on their first day of work.

During this introductory period, employees have access to all standard benefits but may not participate in certain programs such as the annual promotion cycle or tuition reimbursement. It's important to note that completion of the introductory period does not change the at-will nature of employment.",0.2618,0.537
What is the phone number for Orion's Ethics Hotline?,factual,The Ethics Hotline number is 1-800-676-3844. Reports can also be made online at oriontech.ethicspoint.com.,"The phone number for Orion's Ethics Hotline is **1-800-676-3844** (also written as 1-800-ORN-ETHI).

You can also report concerns online at **oriontech.ethicspoint.com**.",0.0233,0.6122
What are Orion's core hours — when all employees must be available?,factual,Core hours at Orion are 10:00 AM to 3:00 PM in the employee's local time zone. All employees are expected to be available for meetings and collaboration during this window.,"According to Orion's employee handbook, the core hours when all employees are expected to be available for meetings and collaboration are **10:00 AM to 3:00 PM in the employee's local time zone**.",0.5488,0.4928
When is the annual performance bonus paid at Orion?,factual,"The annual performance bonus is paid once per year in March, based on performance in the prior calendar year.","According to the employee handbook, the annual performance bonus at Orion is paid **once per year, in March**, based on performance in the prior calendar year.

To be eligible for the bonus, you must meet these requirements:
* Be actively employed on the date of payment
* Have a minimum of three months of employment in the performance year
* Have a performance rating of 'Meets Expectations' or above",0.1671,0.4471
How many paid holidays does Orion observe each year?,factual,Orion observes 12 company-wide paid holidays per year.,"According to the employee handbook, Orion observes **12 company-wide paid holidays per year**.

These holidays include: New Year's Day, Martin Luther King Jr. Day, Presidents' Day, Memorial Day, Juneteenth, Independence Day, Labor Day, Thanksgiving Day, the Day after Thanksgiving, Christmas Eve, Christmas Day, and New Year's Eve.",0.0748,0.3051
How many paid days off does Orion provide for the death of a parent?,factual,"Orion provides 5 paid days of bereavement leave for the death of an immediate family member, which includes a spouse, child, parent, sibling, or grandparent.","According to the Employee Handbook, Orion provides **5 paid days** of bereavement leave for the death of a parent, as a parent is considered immediate family.",0.2673,0.549
How many therapy sessions per year does Orion's Employee Assistance Programme cover?,factual,"Orion's EAP, provided through Lyra Health, covers up to 25 therapy or counselling sessions per year. The service is confidential and free of charge for all employees and their household members.","According to Orion's Employee Assistance Programme (EAP), employees have access to **up to 25 therapy or counselling sessions per year**. These services are provided through Lyra Health and are confidential and free of charge.",0.3427,0.5373
How much is the annual professional development budget per employee at Orion?,factual,"Orion provides $2,000 per year per employee for professional development. Approved uses include online courses, conferences, certifications, and books. Requests over $200 must be pre-approved through the People Portal.","According to the Orion Technologies Employee Handbook, the annual professional development budget per employee is **$2,000 per year**.

This budget can be used for approved purposes including:
* Online courses (Coursera, Pluralsight, O'Reilly Learning, etc.)
* Industry conferences and workshops (travel and registration covered separately up to $3,000)
* Professional certifications (AWS, GCP, CKA, etc.) -- exam fees and one retake covered
* Books, journals, and technical publications",0.0477,0.2887
What is the maximum value of a gift an Orion employee can accept from a vendor?,factual,Employees may accept gifts with a fair market value of $75 or less. Cash and cash equivalents such as gift cards and vouchers may never be accepted regardless of their value.,"According to the Gifts & Entertainment policy (Section 3.3), employees may accept gifts from vendors, customers, or business partners only when the gift has a fair market value of **USD $75 or less**.

Gifts exceeding $75 in value must be declined or, if declining would cause offense, reported to the People team within five business days.

Additionally, during procurement processes, no gifts of any value may be accepted from participating vendors.",0.1025,0.3137
What is the minimum password length required by Orion's IT security policy?,factual,"All accounts at Orion must use strong, unique passwords with a minimum of 16 characters. Multi-Factor Authentication is also mandatory for all Orion systems.","According to Orion's Password & Authentication Policy (section 9.2), the minimum password length required is **16 characters**.",0.0209,0.2326
Does Orion put money into my retirement savings account?,paraphrase,Yes. Orion matches 100% of your 401(k) contributions up to 5% of your base salary through Fidelity. The employer match vests over 3 years.,"Yes, Orion does contribute to your retirement savings through the 401(k) plan. Here are the details:

**Employer Match:**
- Orion matches **100% of your contributions up to 5% of your base salary**
- This means if you contribute 5% of your salary, Orion will match that full amount

**Vesting Schedule:**
The employer match vests over 3 years:
- 33% after year 1
- 67% after year 2
- 100% after year 3

**Auto-Enrollment:**
You're automatically enrolled at 6% of your salary, though you can adjust this rate or opt out at any time.

You can also contribute up to the IRS annual limit ($23,000 for 2025; $30,500 if you're age 50 and above), though Orion's matching contribution is only on the first 5% of your salary.",0.1096,0.2745
What budget do I get to set up my home office when I join Orion?,paraphrase,"You receive a one-time home office setup stipend of $1,500 upon joining and an annual equipment refresh allowance of $500 per year. Receipts must be submitted through Concur within 60 days of purchase.","When you join Orion as a full-time employee, you receive a **one-time home office setup stipend of $1,500**.

Additionally, you'll receive an **annual equipment refresh allowance of $500 per year** for ongoing needs.

Remember to submit receipts through Concur within 60 days of purchase to be reimbursed.",0.348,0.6744
When do I receive my yearly bonus at Orion?,paraphrase,The annual performance bonus is paid once per year in March based on performance in the prior calendar year.,"According to the employee handbook, Orion's annual performance bonus is paid **once per year, in March**, based on your performance in the prior calendar year.

To be eligible for the bonus, you must meet these requirements:
* Be actively employed on the date of payment
* Have a minimum of three months of employment in the performance year
* Have a performance rating of 'Meets Expectations' or above

The bonus amount varies by level, ranging from a target of 10% to 30% of your base salary.",0.1103,0.3689
When do my stock grants from Orion actually become mine to keep?,paraphrase,"RSUs vest over 4 years with a 1-year cliff: 25% vests after 12 months, then 1/48th per month for the remaining 36 months. Grants are subject to Board approval and tax withholding is handled by Carta.","Based on the employee handbook, Orion's standard vesting schedule for Restricted Stock Units (RSUs) is **4 years with a 1-year cliff**:

* **25% vests after 12 months** (the cliff)
* **1/48 per month for the remaining 36 months** (the rest vests gradually)

This means that after your first year, 25% of your RSU grant becomes yours to keep. After that, the remaining 75% vests gradually each month over the next three years.

RSU grants are subject to approval by the Board of Directors Compensation Committee, and tax withholding on vesting is handled automatically by Orion's equity administrator, Carta.",0.1541,0.4783
How do I report a concern about fraud at Orion without anyone knowing it was me?,paraphrase,Orion has an anonymous Ethics Hotline operated by a third-party provider. You can call 1-800-676-3844 or report online at oriontech.ethicspoint.com. Retaliation against reporters is strictly prohibited.,"You can report fraud concerns anonymously through Orion's **Ethics Hotline**, which is operated by a third-party provider:

**Ethics Hotline Contact Options:**
- **Phone:** 1-800-ORN-ETHI (1-800-676-3844)
- **Online:** oriontech.ethicspoint.com

The anonymous reporting process allows you to raise concerns about fraud, ethics violations, financial misconduct, or other policy violations without revealing your identity.

**Important protections:**
- All reports are investigated by the Legal and People teams
- **Retaliation is strictly prohibited** — you are protected from any adverse action for making a good-faith report
- Retaliation itself is grounds for termination

You do not need to confront the person involved before making a formal complaint through this channel.",0.043,0.2937
Can Orion cover the cost of attending an industry conference?,paraphrase,"Yes. Orion provides a $2,000 annual professional development stipend for courses, books, and conferences, and a separate budget covering conference travel and registration up to $3,000. Any request over $200 must be pre-approved through the People Portal.","Yes, Orion can cover the cost of attending an industry conference. According to the Learning & Development section, industry conferences and workshops are approved uses of the $2,000 annual professional development budget per employee, with travel and registration covered separately up to $3,000.",0.1867,0.3571
Do I have to use two-factor authentication to log into Orion systems?,paraphrase,"Yes. Multi-Factor Authentication is mandatory for all Orion systems including email, GitHub, AWS, and the VPN. This applies to all employees.","Yes. According to the Password & Authentication Policy (section 9.2), **Multi-Factor Authentication (MFA) is mandatory for all Orion systems, including email, GitHub, AWS, and the VPN.**",0.3851,0.6939
"If a Senior Engineer (IC3) gives exactly 2 weeks notice when resigning, will they be eligible for rehire at Orion in the future?",multi-hop,Yes. IC1-IC3 employees are expected to give 2 weeks notice. Orion only designates employees as ineligible for rehire if they resigned with less than two weeks notice — giving the full two weeks preserves rehire eligibility.,"Based on the employee handbook, **no, they would not be eligible for rehire**.

Here's why:

According to Section 2.7 (Rehire Policy):
- ""Employees who were terminated for cause or who resigned with less than two weeks' notice are designated as ineligible for rehire.""

An IC3 (Senior Engineer) is required to give **4 weeks notice** according to Section 13.1. If they give exactly 2 weeks notice, that is **less than the required 4 weeks**, which makes them ineligible for rehire in the future.",0.0901,0.2833
An employee joined Orion in October 2024 and received a Meets Expectations rating in the annual review. Will they receive a bonus in March 2025?,multi-hop,Yes. The bonus requires at least 3 months of employment in the performance year and a Meets Expectations rating or above. An October 2024 start gives 3 months in the year and the rating condition is satisfied.,"Based on the information provided, **no, this employee will not receive a bonus in March 2025**.

According to Section 5.4 (Annual Performance Bonus), eligibility requires:
- Active employment on the date of payment ✓ (they will be)
- **A minimum of three months of employment in the performance year** ✗ (they only have 2 months in 2024)
- A performance rating of 'Meets Expectations' or above ✓ (they have this)

Since the employee joined in October 2024, they will have only 2 months of employment in the 2024 performance year. The bonus is based on performance in the prior calendar year, and they do not meet the minimum three-month employment requirement for the 2024 performance year.",0.0668,0.3087
Does a part-time employee working 30 hours per week qualify for health insurance at Orion?,multi-hop,Yes. Part-Time Regular employees working 20 to 39 hours per week are eligible for pro-rated benefits. Full benefits eligibility begins on the first day of the month following the hire date.,"Yes, a part-time employee working 30 hours per week qualifies for health insurance at Orion.

According to the handbook, part-time employees working 20+ hours per week are eligible for pro-rated benefits. Since 30 hours per week meets this threshold, this employee would receive pro-rated health insurance benefits.

Additionally, the handbook specifies that benefits eligibility begins on the first day of the month following the employee's hire date.",0.2758,0.5524
An employee received a Developing rating (rating 2) in their annual review. Are they eligible for the performance bonus?,multi-hop,No. The bonus requires a rating of Meets Expectations or above — which is rating 3 or higher. A Developing rating (2) does not meet the eligibility threshold.,"Based on the provided handbook, **no, they are not eligible for the performance bonus**.

According to Section 5.4 (Annual Performance Bonus), eligibility requires:
- Active employment on the date of payment
- A minimum of three months of employment in the performance year
- **A performance rating of 'Meets Expectations' or above**

A ""Developing"" rating (rating 2) does not meet the minimum threshold of ""Meets Expectations"" (rating 3), so the employee would not qualify for the annual performance bonus.",0.0729,0.3846
A Director gives 6 weeks notice when resigning. Are they eligible for rehire at Orion in the future?,multi-hop,Yes. Directors are expected to give 6 weeks notice. Orion designates employees as ineligible for rehire only if they resigned with less than two weeks notice — giving the full 6 weeks means rehire eligibility is preserved.,"Based on the provided handbook, a Director who gives 6 weeks notice and resigns would be eligible for rehire in the future.

According to Section 2.7 (Rehire Policy), former employees who left Orion ""in good standing (eligible for rehire)"" may be considered for open positions. Employees are designated as **ineligible for rehire** only if they were:
1. Terminated for cause, OR
2. Resigned with less than two weeks' notice

Since the Director in your scenario provided 6 weeks notice (which exceeds the required 6-week notice period for Directors per Section 13.1), they would be considered to have left in good standing and would be eligible for rehire.",0.0746,0.3425
I want to work from Japan for 5 weeks while visiting family. What do I need to do before I go?,multi-hop,"Working from a country other than your country of hire for more than 30 consecutive days requires prior written approval from the People team and Legal. Since 5 weeks is 35 days and exceeds the 30-day threshold, you must obtain written approval before going. Tax, immigration, and employment law implications vary by country and must be assessed in advance.","Based on the handbook, since you want to work from Japan for more than 30 consecutive days, you need to:

**Get prior written approval from:**
* The People team
* Legal

**Important note:** The handbook states that ""Tax, immigration, and employment law implications vary significantly by country and must be assessed in advance.""

You should contact the People team and Legal before your trip to ensure all requirements are met, as this is a mandatory approval process for any international remote work exceeding 30 consecutive days.",0.2595,0.4444
An employee received a verbal warning last month. Are they still eligible for the annual performance bonus?,multi-hop,"Yes. A verbal warning alone does not affect bonus eligibility. The bonus requires active employment, at least 3 months in the performance year, and a Meets Expectations rating or above. A verbal warning is Step 1 of progressive discipline and does not change employment status or performance rating by itself.","Based on the provided handbook information, I don't know for certain. 

The handbook states that to be eligible for the annual performance bonus, an employee must meet these requirements:
* Be actively employed on the date of payment
* Have a minimum of three months of employment in the performance year
* Have a performance rating of 'Meets Expectations' or above

A verbal warning alone is not explicitly listed as disqualifying an employee from bonus eligibility. However, the handbook does not clarify whether receiving a verbal warning affects the performance rating or eligibility status.

I'd recommend contacting HR or the employee's manager for clarification on how the verbal warning impacts the employee's performance rating and bonus eligibility.",0.0708,0.3095
How do I request a pay raise before the annual review cycle?,out-of-scope,The handbook does not describe a process for requesting off-cycle salary increases. Compensation decisions are described in the context of the annual review cycle held each December.,"I don't know based on the provided documents.

The handbook outlines the annual review cycle in December where compensation decisions are made, and it describes the performance rating system and career progression framework. However, it does not contain information about the process for requesting a pay raise outside of the annual review cycle.

I'd recommend reaching out to your manager or the People team directly to discuss your options for a mid-cycle compensation review.",n/a,n/a
Does Orion have an office in London?,out-of-scope,The handbook states that Orion operates across twelve countries but does not list specific office locations. This question cannot be answered from the handbook.,"I don't know based on the provided documents.

The handbook mentions that Orion has expanded to Europe and operates across twelve countries, but it does not specifically list which cities or countries have offices. To find out whether Orion has an office in London, you would need to contact the HR team at hr@oriontech.io or check the company's website at www.oriontech.io.",n/a,n/a
What is Orion's relocation package for new hires who need to move for the job?,out-of-scope,"The handbook does not describe a relocation package. It covers the home office setup stipend for remote workers ($1,500) but does not mention relocation assistance for employees moving to a new city.","I don't know based on the provided documents.

The handbook excerpt provided does not contain information about Orion's relocation package for new hires. While the document covers remote work policies, home office stipends, and other benefits, it does not address relocation assistance or moving expenses.

I'd recommend contacting the People team directly for details about relocation support.",n/a,n/a
Am I allowed to bring my dog to the Orion office?,out-of-scope,The handbook does not contain any information about a pet policy at Orion office locations.,"I don't know based on the provided documents. The employee handbook sections provided do not contain information about pets or animals in the office.

For this question, I'd recommend contacting your manager or the People team directly.",n/a,n/a
How do I apply for a different role within Orion without going through external recruiting?,out-of-scope,"The handbook does not describe an internal mobility or job transfer process. Career progression is covered in terms of the promotion cycle, but a separate process for lateral moves or role changes is not documented here.","I don't know based on the provided documents.

The handbook excerpt provided does not contain information about internal job transfer or promotion procedures. To find out how to apply for a different role within Orion, I recommend:

1. Contacting your People team directly at **hr@oriontech.io** or **+1 (512) 400-7200**
2. Checking the **Orion People Portal** at **people.oriontech.io** for internal job postings and application procedures

They'll be able to guide you through the internal mobility process.",n/a,n/a
How do I sign up for the OrionCare mental wellness programme?,fictitious-entity,"There is no programme called OrionCare at Orion Technologies. Mental health support is provided through the Employee Assistance Programme via Lyra Health, which covers up to 25 counselling sessions per year at no charge.","I don't know based on the provided documents.

The handbook mentions an Employee Assistance Programme (EAP) provided through Lyra Health that offers therapy, counselling, and other support services, but there is no information about an ""OrionCare mental wellness programme"" or how to sign up for it in the sections provided.

If you're looking for mental health support, I can tell you that the EAP services are available to all employees and their household members at no charge, with a 24/7 crisis line at 1-800-ORN-LYRA. For specific details about OrionCare or enrollment procedures, I'd recommend contacting your People team directly.",n/a,n/a
What discounts can I get with the Orion Gold Card employee programme?,fictitious-entity,"There is no Orion Gold Card or employee discount programme in the handbook. The handbook lists specific benefits such as the wellness stipend, professional development budget, and charity matching, but no Gold Card programme.","I don't know based on the provided documents.

The employee handbook excerpt provided does not contain any information about an ""Orion Gold Card employee programme"" or associated discounts. If you're looking for information about employee discounts or benefits programs, I'd recommend contacting the People team directly for details.",n/a,n/a
How do I submit a medical claim through the OrionHealth portal?,fictitious-entity,There is no portal called OrionHealth at Orion Technologies. Health insurance is provided through Cigna and claims are handled directly through Cigna. The internal People Portal is at people.oriontech.io.,"I don't know based on the provided documents.

The handbook mentions that benefit details are available on the People Portal at people.oriontech.io, but it does not contain specific instructions on how to submit medical claims or information about an ""OrionHealth portal."" 

For guidance on submitting medical claims, I recommend visiting the People Portal or contacting your HR department directly.",n/a,n/a
How do I apply for the Orion Innovation Lab stipend to fund a side project?,fictitious-entity,"There is no Innovation Lab stipend at Orion Technologies. The handbook provides a $2,000 professional development stipend for courses, certifications, and conferences, but no funding for personal side projects or innovation labs.","I don't know based on the provided documents.

The employee handbook section provided does not contain information about an ""Orion Innovation Lab stipend"" or how to apply for funding for side projects. 

If you're looking for information about professional development funding, the handbook does mention that Orion invests $2,000 per employee per year in professional development for things like online courses, conferences, certifications, and technical publications. For details about the Innovation Lab stipend specifically, I'd recommend contacting your People team or manager directly.",n/a,n/a
Is there any flexibility in the notice period if I want to leave sooner than expected?,adversarial,"Notice periods are set by level: 2 weeks for IC1-IC3, 4 weeks for IC4-IC5 and Managers, and 6 weeks for Directors and above. Orion may at its discretion choose to accept shorter notice — but this is Orion's decision, not the employee's right. Employees who resign with less than two weeks notice are designated as ineligible for rehire.","Yes, there is flexibility in the notice period. According to the handbook, while the expected notice periods by level are:

- **IC1 - IC3:** 2 weeks
- **IC4 - IC5 / Manager:** 4 weeks
- **Director and above:** 6 weeks

**Orion may, at its discretion:**
- Accept shorter notice
- Place you on garden leave for the notice period
- Waive the notice period entirely

So if you need to leave sooner, you should discuss this with your manager and the People team. They have the authority to accommodate a shorter departure timeline depending on your circumstances.",n/a,n/a
