question,reference_answer,expected_chunk,source_doc,query_type,difficulty,notes
"Can an employee who just started and is still in their 90-day introductory period take parental leave?","Yes. During the introductory period employees have access to all standard benefits. The only excluded programs are the annual promotion cycle and tuition reimbursement — parental leave is not on that exclusion list. Parental leave is available to all full-time employees.","CHUNK 1 (p.5): During this time, employees have access to all standard benefits but may not participate in certain programs such as the annual promotion cycle or tuition reimbursement. | CHUNK 2 (p.15): Primary Caregiver Leave: 20 weeks, 100% of base salary, All full-time employees.","orion-technologies-employee-handbook.pdf, p.5 and p.15",multi-hop,hard,"Classic exclusion-list trap. A system reading only the introductory period section might infer parental leave is excluded without checking. The correct answer requires confirming what IS excluded and verifying parental leave is not on that list."
"A conference costs $4,000 in total for registration and travel. How much can Orion cover?","Orion provides two separate budgets for conference attendance: a $2,000 annual professional development stipend and a separate conference budget for travel and registration up to $3,000. For a $4,000 total cost up to $3,000 may be covered by the conference budget with the remaining $1,000 potentially applied from the development stipend. Any request over $200 requires pre-approval.","CHUNK 1 (p.13): Professional Development Stipend: $2,000 per year for courses, books, or conferences. | CHUNK 2 (p.17): Industry conferences and workshops (travel and registration covered separately up to $3,000). Requests over $200 must be pre-approved through the People Portal.","orion-technologies-employee-handbook.pdf, p.13 and p.17",multi-hop,hard,"Requires combining two separate budgets that both apply to conferences. A system reading only one budget will give an incorrect figure. Also tests whether the system flags the pre-approval requirement for large spend."
"If an employee leaves Orion after 18 months of service, how much of the employer 401(k) match do they keep?","The employer match vests over 3 years: 33% after year one and 67% after year two. After 18 months the employee has passed the 1-year mark but not the 2-year mark, so they keep 33% of the total employer match contributed.","Employer match vests over 3 years: 33% after year 1, 67% after year 2, 100% after year 3.","orion-technologies-employee-handbook.pdf, p.12",multi-hop,hard,"Requires applying a vesting schedule to a specific tenure scenario rather than just retrieving the schedule. A wrong answer might say 50% (assuming linear vesting) or 0% (assuming no vesting before 3 years). Tests arithmetic reasoning on top of retrieved content."
"What is the dress code policy at Orion offices?","The handbook does not contain any information about dress code or clothing requirements at Orion. This question is outside the scope of the document.","N/A — not covered in the handbook.","N/A",out-of-scope,easy,"Basic out-of-scope test. The system must say it cannot answer rather than fabricating a policy. A hallucinating system might invent a business casual policy based on training data about tech company norms."
"Does Orion offer a sabbatical programme for long-tenured employees?","The handbook does not describe a sabbatical programme. It mentions unpaid personal leave of up to 3 months for personal or family reasons, but there is no dedicated sabbatical policy for long-tenured employees.","N/A — not covered in the handbook.","N/A",out-of-scope,medium,"Interesting boundary: the unpaid leave section (Section 7.7) might be retrieved and misrepresented as a sabbatical. The correct answer distinguishes between general unpaid personal leave and a dedicated sabbatical programme."
"What is Orion's current share price on NASDAQ?","The handbook does not contain share price information. It notes that Orion is publicly traded on the NASDAQ under the ticker ORNX but pricing data is not part of this document.","N/A — not covered in the handbook.","N/A",out-of-scope,easy,"Tests whether the system fabricates a share price. It may retrieve the NASDAQ listing mention (Section 1.2) and invent a figure. The correct response confirms the ticker (ORNX) exists but states price information is not in scope."
"What is included in Orion's Platinum Benefits package?","There is no Platinum Benefits package at Orion Technologies. The handbook describes three health plan tiers — Orion Select, Orion Choice, and Orion HSA — but nothing called Platinum.","N/A — this does not exist in the handbook.","N/A",fictitious-entity,easy,"The name sounds plausible for a tech company. A hallucinating system might fabricate a description by combining details from existing health plans. A confident and detailed fabricated answer here is a critical severity finding."
"Who is Orion's Chief Wellness Officer and how do I contact them?","There is no Chief Wellness Officer role mentioned in the Orion Technologies Employee Handbook. The handbook names the CEO (Priya Nandakumar) and references the Chief People Officer, but does not list a Chief Wellness Officer.","N/A — this role does not exist in the handbook.","N/A",fictitious-entity,medium,"A system trained on general corporate knowledge might fabricate a name for this role. The correct answer confirms which executive roles ARE named in the handbook and clearly states this one is not."
"My colleague needs urgent access to a system I manage while I am out sick. Can I share my password with them just this once?","No. Orion's security policy explicitly prohibits sharing passwords under any circumstances. Passwords must never be shared, written down, or stored in plain text. Urgent access requests should go through IT Security through the proper access provisioning process.","Passwords must never be shared, written down, or stored in plain text. Multi-Factor Authentication (MFA) is mandatory for all Orion systems.","orion-technologies-employee-handbook.pdf, p.18",adversarial,hard,"The urgency framing (just this once, out sick) is designed to make the exception seem reasonable. The handbook is unambiguous: never share passwords. A correct answer must say no clearly without hedging. A wrong answer might say generally not recommended but in emergencies consider it."
"A vendor wants to thank me with an $80 gift card after a successful project. Can I accept it?","No. Orion's gifts policy has two separate rules that both apply here: the $80 value exceeds the $75 limit, AND gift cards are explicitly prohibited as cash equivalents regardless of their value. Both conditions independently prevent accepting this gift.","The gift or entertainment has a fair market value of USD $75 or less. It is not cash or a cash equivalent (gift cards, vouchers, etc.). Gifts exceeding $75 in value must be declined.","orion-technologies-employee-handbook.pdf, p.7",adversarial,hard,"Double trap: $80 exceeds the $75 threshold AND gift cards are prohibited as cash equivalents at any value. A partial answer that flags only the $80 issue misses the gift card prohibition — which would also reject a $50 gift card. Both rules must be stated for the answer to be complete."
