question,reference_answer,expected_chunk,source_doc,query_type,difficulty,notes
"Does Orion put money into my retirement savings account?","Yes. Orion matches 100% of your 401(k) contributions up to 5% of your base salary through Fidelity. The employer match vests over 3 years.","Orion matches 100% of employee contributions up to 5% of base salary. Employer match vests over 3 years: 33% after year 1, 67% after year 2, 100% after year 3.","orion-technologies-employee-handbook.pdf, p.12",paraphrase,easy,"Same answer as the 401(k) factual row but using retirement savings instead of 401(k). Tests whether the system handles informal vocabulary. A retrieval failure here suggests the embedding model is not domain-adapted to HR terminology."
"What budget do I get to set up my home office when I join Orion?","You receive a one-time home office setup stipend of $1,500 upon joining and an annual equipment refresh allowance of $500 per year. Receipts must be submitted through Concur within 60 days of purchase.","Full-time employees receive a one-time home office setup stipend of $1,500 upon joining and an annual equipment refresh allowance of $500 per year. Receipts must be submitted through Concur within 60 days of purchase.","orion-technologies-employee-handbook.pdf, p.9",paraphrase,easy,"Same answer as the home office factual row but using budget and set up my home office. Compare retrieval rank with the factual version — both queries should retrieve the same chunk at similar rank."
"When do I receive my yearly bonus at Orion?","The annual performance bonus is paid once per year in March based on performance in the prior calendar year.","Orion's annual performance bonus is paid once per year, in March, based on performance in the prior calendar year.","orion-technologies-employee-handbook.pdf, p.10",paraphrase,easy,"Same answer as the bonus timing factual row but using yearly bonus instead of annual performance bonus. A system that fails this but passes the factual version has a lexical matching problem."
"When do my stock grants from Orion actually become mine to keep?","RSUs vest over 4 years with a 1-year cliff: 25% vests after 12 months, then 1/48th per month for the remaining 36 months. Grants are subject to Board approval and tax withholding is handled by Carta.","Standard vesting schedule is 4 years with a 1-year cliff: 25% vests after 12 months, then 1/48 per month for the remaining 36 months.","orion-technologies-employee-handbook.pdf, p.10",paraphrase,medium,"Same answer as the RSU factual row but using stock grants become mine casual language. Tests semantic mapping of equity vocabulary. A wrong answer might retrieve the 401(k) section instead of the RSU section."
"How do I report a concern about fraud at Orion without anyone knowing it was me?","Orion has an anonymous Ethics Hotline operated by a third-party provider. You can call 1-800-676-3844 or report online at oriontech.ethicspoint.com. Retaliation against reporters is strictly prohibited.","Orion maintains an anonymous Ethics Hotline operated by a third-party provider. Employees may report concerns about ethics violations, fraud, financial misconduct, or any other policy violation without fear of retaliation. Ethics Hotline: 1-800-676-3844.","orion-technologies-employee-handbook.pdf, p.8",paraphrase,easy,"Same answer as the hotline factual row but framed from the perspective of someone worried about confidentiality. Tests whether without anyone knowing maps to anonymous hotline. A good system should also mention the non-retaliation clause."
"Can Orion cover the cost of attending an industry conference?","Yes. Orion provides a $2,000 annual professional development stipend for courses, books, and conferences, and a separate budget covering conference travel and registration up to $3,000. Any request over $200 must be pre-approved through the People Portal.","Professional Development Stipend: $2,000 per year for courses, books, or conferences. Industry conferences and workshops (travel and registration covered separately up to $3,000). Requests over $200 must be pre-approved through the People Portal.","orion-technologies-employee-handbook.pdf, p.13 and p.17",paraphrase,easy,"Same content as the professional development factual row but framed as a yes/no question. Tests whether the system confirms yes before providing detail. A system that answers only there is a professional development budget without a direct yes is incomplete."
"Do I have to use two-factor authentication to log into Orion systems?","Yes. Multi-Factor Authentication is mandatory for all Orion systems including email, GitHub, AWS, and the VPN. This applies to all employees.","Multi-Factor Authentication (MFA) is mandatory for all Orion systems, including email, GitHub, AWS, and the VPN.","orion-technologies-employee-handbook.pdf, p.18",paraphrase,easy,"Tests whether two-factor authentication maps to Multi-Factor Authentication (MFA) in the security policy section. A system that fails this but passes a direct MFA policy question has a synonym handling problem."
"If a Senior Engineer (IC3) gives exactly 2 weeks notice when resigning, will they be eligible for rehire at Orion in the future?","Yes. IC1-IC3 employees are expected to give 2 weeks notice. Orion only designates employees as ineligible for rehire if they resigned with less than two weeks notice — giving the full two weeks preserves rehire eligibility.","CHUNK 1 (p.23): IC1 - IC3: 2 weeks [notice period]. | CHUNK 2 (p.6): Employees who were terminated for cause or who resigned with less than two weeks notice are designated as ineligible for rehire.","orion-technologies-employee-handbook.pdf, p.23 and p.6",multi-hop,hard,"Requires joining two facts from different sections: the notice period table (Section 13.1) and the rehire eligibility rule (Section 2.7). A system reading only Section 13 can answer the notice question but not the rehire consequence."
"An employee joined Orion in October 2024 and received a Meets Expectations rating in the annual review. Will they receive a bonus in March 2025?","Yes. The bonus requires at least 3 months of employment in the performance year and a Meets Expectations rating or above. An October 2024 start gives 3 months in the year and the rating condition is satisfied.","CHUNK 1 (p.10): A minimum of three months of employment in the performance year. A performance rating of Meets Expectations or above. | CHUNK 2 (p.16): Rating 3 - Meets - Fully meets expectations; solid, reliable contribution.","orion-technologies-employee-handbook.pdf, p.10 and p.16",multi-hop,hard,"Requires combining bonus eligibility conditions (Section 5.4) with the performance rating scale (Section 8.1) to confirm the rating label maps to eligible. A system that does not cross-reference the rating scale might be uncertain whether Meets Expectations qualifies."
"Does a part-time employee working 30 hours per week qualify for health insurance at Orion?","Yes. Part-Time Regular employees working 20 to 39 hours per week are eligible for pro-rated benefits. Full benefits eligibility begins on the first day of the month following the hire date.","CHUNK 1 (p.5): Part-Time Regular: 20-39 hrs/week, Yes (pro-rata), Permanent position reduced hours. | CHUNK 2 (p.12): All full-time regular employees are eligible for benefits on the first day of the month following their hire date. Part-time employees working 20+ hours per week are eligible for pro-rated benefits.","orion-technologies-employee-handbook.pdf, p.5 and p.12",multi-hop,medium,"Requires the employment classification table (Section 2.3) to establish that 30 hours = Part-Time Regular, then the benefits section to confirm pro-rata eligibility. A system reading only the benefits section might answer full-time only."
"An employee received a Developing rating (rating 2) in their annual review. Are they eligible for the performance bonus?","No. The bonus requires a rating of Meets Expectations or above — which is rating 3 or higher. A Developing rating (2) does not meet the eligibility threshold.","CHUNK 1 (p.10): A performance rating of Meets Expectations or above [is required for bonus eligibility]. | CHUNK 2 (p.16): Rating 2 - Developing - Partially meets expectations; improvement plan in place.","orion-technologies-employee-handbook.pdf, p.10 and p.16",multi-hop,medium,"Same cross-section logic as the October joiner row but the answer is No. Must look up the rating scale to confirm rating 2 falls below the Meets Expectations threshold. Pair this row with the October joiner row to verify the boundary condition is handled correctly in both directions."
"A Director gives 6 weeks notice when resigning. Are they eligible for rehire at Orion in the future?","Yes. Directors are expected to give 6 weeks notice. Orion designates employees as ineligible for rehire only if they resigned with less than two weeks notice — giving the full 6 weeks means rehire eligibility is preserved.","CHUNK 1 (p.23): Director and above: 6 weeks [notice period]. | CHUNK 2 (p.6): Employees who resigned with less than two weeks notice are designated as ineligible for rehire.","orion-technologies-employee-handbook.pdf, p.23 and p.6",multi-hop,medium,"Parallel to the IC3 resignation row but for Director level. Together these two rows verify that the rehire rule is applied consistently across levels. Note: the ineligibility threshold is always less than two weeks regardless of the expected notice period for that level."
"I want to work from Japan for 5 weeks while visiting family. What do I need to do before I go?","Working from a country other than your country of hire for more than 30 consecutive days requires prior written approval from the People team and Legal. Since 5 weeks is 35 days and exceeds the 30-day threshold, you must obtain written approval before going. Tax, immigration, and employment law implications vary by country and must be assessed in advance.","Working from a country other than your country of hire for more than 30 consecutive days requires prior written approval from the People team and Legal. Tax, immigration, and employment law implications vary significantly by country and must be assessed in advance.","orion-technologies-employee-handbook.pdf, p.9",multi-hop,medium,"Requires applying the 30-day policy rule to the arithmetic of 5 weeks = 35 days. A system that retrieves the policy but does not apply it to the specific scenario gives an incomplete answer. Tests reasoning over a retrieved fact, not just retrieval."
"An employee received a verbal warning last month. Are they still eligible for the annual performance bonus?","Yes. A verbal warning alone does not affect bonus eligibility. The bonus requires active employment, at least 3 months in the performance year, and a Meets Expectations rating or above. A verbal warning is Step 1 of progressive discipline and does not change employment status or performance rating by itself.","CHUNK 1 (p.10): Eligibility requires: Active employment on the date of payment. Minimum three months in the performance year. A performance rating of Meets Expectations or above. | CHUNK 2 (p.22): Step 1 - Verbal Warning: Manager discusses the issue, expectations, and required improvement. Documented in the employee's file.","orion-technologies-employee-handbook.pdf, p.10 and p.22",multi-hop,hard,"Requires connecting the disciplinary process (Section 12.1) with bonus eligibility criteria (Section 5.4). A verbal warning does not disqualify — only a rating below Meets Expectations would. A wrong answer might say the verbal warning makes them ineligible."
"How do I request a pay raise before the annual review cycle?","The handbook does not describe a process for requesting off-cycle salary increases. Compensation decisions are described in the context of the annual review cycle held each December.","N/A — not covered in the handbook.","N/A",out-of-scope,medium,"A partially tricky out-of-scope: the handbook mentions compensation and review cycles so the system might retrieve related sections and attempt an answer. The correct response acknowledges what IS documented while making clear the specific off-cycle process is not covered."
"Does Orion have an office in London?","The handbook states that Orion operates across twelve countries but does not list specific office locations. This question cannot be answered from the handbook.","N/A — not covered in the handbook.","N/A",out-of-scope,easy,"Tests whether the system fabricates a location. A hallucinating system might say yes based on Orion being described as a global company with employees in twelve countries. Specific office locations are not in scope."
"What is Orion's relocation package for new hires who need to move for the job?","The handbook does not describe a relocation package. It covers the home office setup stipend for remote workers ($1,500) but does not mention relocation assistance for employees moving to a new city.","N/A — not covered in the handbook.","N/A",out-of-scope,medium,"The system might retrieve the home office stipend section and present it as a relocation benefit. The correct answer distinguishes between remote work setup support and relocation assistance — which are different benefits."
"Am I allowed to bring my dog to the Orion office?","The handbook does not contain any information about a pet policy at Orion office locations.","N/A — not covered in the handbook.","N/A",out-of-scope,easy,"Simple out-of-scope test with no related content in the handbook. No partial answer is possible. Expected system response: straightforward acknowledgement that this is not covered."
"How do I apply for a different role within Orion without going through external recruiting?","The handbook does not describe an internal mobility or job transfer process. Career progression is covered in terms of the promotion cycle, but a separate process for lateral moves or role changes is not documented here.","N/A — not covered in the handbook.","N/A",out-of-scope,medium,"The system might retrieve content about promotions (Section 8.3) and conflate it with internal transfers. The correct answer distinguishes between the annual promotion cycle and a separate internal mobility process."
"How do I sign up for the OrionCare mental wellness programme?","There is no programme called OrionCare at Orion Technologies. Mental health support is provided through the Employee Assistance Programme via Lyra Health, which covers up to 25 counselling sessions per year at no charge.","N/A — this does not exist in the handbook.","N/A",fictitious-entity,easy,"The system may retrieve the EAP section (Section 6.5) and rebrand it as OrionCare. The correct answer refuses to validate the fictitious name while redirecting to the actual programme — EAP via Lyra Health."
"What discounts can I get with the Orion Gold Card employee programme?","There is no Orion Gold Card or employee discount programme in the handbook. The handbook lists specific benefits such as the wellness stipend, professional development budget, and charity matching, but no Gold Card programme.","N/A — this does not exist in the handbook.","N/A",fictitious-entity,easy,"A system might retrieve the additional benefits table (Section 6.6) and list items from it as if they were Gold Card benefits. The correct answer does not validate the fictitious programme name."
"How do I submit a medical claim through the OrionHealth portal?","There is no portal called OrionHealth at Orion Technologies. Health insurance is provided through Cigna and claims are handled directly through Cigna. The internal People Portal is at people.oriontech.io.","N/A — this does not exist in the handbook.","N/A",fictitious-entity,easy,"Tests whether the system confuses OrionHealth with actual Orion portals (People Portal) or the Cigna insurance provider. A hallucinating system might invent claim submission steps for a non-existent portal."
"How do I apply for the Orion Innovation Lab stipend to fund a side project?","There is no Innovation Lab stipend at Orion Technologies. The handbook provides a $2,000 professional development stipend for courses, certifications, and conferences, but no funding for personal side projects or innovation labs.","N/A — this does not exist in the handbook.","N/A",fictitious-entity,medium,"A system might retrieve the professional development stipend (Section 8.4) and misframe it as an Innovation Lab. The correct answer clearly distinguishes the approved uses of the $2,000 stipend from the fictitious programme."
"Is there any flexibility in the notice period if I want to leave sooner than expected?","Notice periods are set by level: 2 weeks for IC1-IC3, 4 weeks for IC4-IC5 and Managers, and 6 weeks for Directors and above. Orion may at its discretion choose to accept shorter notice — but this is Orion's decision, not the employee's right. Employees who resign with less than two weeks notice are designated as ineligible for rehire.","Orion may, at its discretion, accept shorter notice, place the employee on garden leave for the notice period, or waive the notice period entirely. Employees who were terminated for cause or who resigned with less than two weeks notice are designated as ineligible for rehire.","orion-technologies-employee-handbook.pdf, p.23 and p.6",adversarial,hard,"The word flexibility may cause the system to answer yes without the critical nuance: it is Orion's discretion to waive notice, not the employee's right to choose shorter notice. A correct answer must state this distinction clearly and include the rehire ineligibility consequence."
"Can I use my home office stipend to buy the laptop I need to work from home?","No. Orion provides all full-time employees with a company-owned laptop separately from the home office stipend. The $1,500 stipend is for office setup items such as furniture and peripherals. Laptops remain company property and must be returned upon termination.","Full-time employees receive a one-time home office setup stipend of $1,500 upon joining. Orion provides all employees with a company-owned laptop (MacBook Pro or equivalent). Laptops and other Orion-owned equipment remain company property and must be returned upon termination.","orion-technologies-employee-handbook.pdf, p.9 and p.18",adversarial,hard,"The question assumes the stipend covers the laptop — it does not. A wrong answer might say yes, use the $1,500 for a laptop when the laptop is separately provided. This matters practically: buying a personal laptop with the stipend leaves the employee without the Orion-managed device they actually need."
"Since Orion has a flexible PTO policy with no cap, can I take as many days as I want without asking my manager?","No. While the PTO policy has no preset cap, PTO must still be scheduled with manager approval taking into account business needs and team coverage. Flexible means no fixed limit — not that the approval process is optional.","Orion provides a flexible PTO policy for all full-time exempt employees, meaning there is no preset cap on PTO days. PTO must be scheduled with manager approval, taking into account business needs and team coverage.","orion-technologies-employee-handbook.pdf, p.14",adversarial,medium,"Classic flexible PTO misinterpretation. The question plants the assumption that no cap means no process. The correct answer distinguishes between having no fixed limit and still requiring manager approval. A wrong answer confirms the assumption: yes take as many as you want."
"I have been genuinely unwell and missed 6 unplanned days in the past 90 days. Will I face disciplinary action?","Potentially yes. The handbook states that more than 5 unscheduled absences within any rolling 90-day period — excluding approved leave — will be addressed through the performance management process. Six days exceeds the threshold. However, if the absences were properly logged as approved sick leave, the excluding approved leave clause may apply.","Excessive unplanned absences (more than 5 unscheduled days within any rolling 90-day period, excluding approved leave) will be addressed through the performance management process described in Section 12.","orion-technologies-employee-handbook.pdf, p.9",adversarial,medium,"The genuinely unwell framing might soften the system's response. The correct answer accurately states the 5-day threshold is exceeded while noting the excluding approved leave qualifier — which may protect the employee if absences were properly logged as sick leave. A wrong answer might only reassure the employee without flagging the threshold."
